orchard,trantype,edgegen,AMCR,AMRO,BLPH,BRBL,COHA,DEJU,EUCD,EUST,HETH,HOFI,KILL,LASP,LEGO,LISP,MODO,NOFL,NUWO,OATI,RCKI,RSHA,RWBL,SAVS,WBNU,WCSP,WEBL,WEME,CASJ,YRWA,lpred_SR,lpred_maxAb,woodpecker_maxAb
1,I,habitat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,1,1,1
2,I,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3,I,habitat,0,7,0,12,0,7,1,0,0,11,0,1,0,0,0,2,0,0,0,0,0,1,0,5,5,0,0,16,1,1,1
4,I,control,0,3,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,0,0,1,0,1,0,1,1,1,1
5,I,habitat,0,2,0,4,0,0,0,8,0,0,13,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0
6,I,control,0,1,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,I,habitat,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,13,1,1,1
8,I,control,0,2,0,0,0,0,0,0,0,6,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
9,I,habitat,0,3,0,0,0,6,1,20,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,3,1,12,1,3,3
10,I,control,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,14,2,2,2
11,I,habitat,0,5,0,0,0,7,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,2,2,2
12,I,control,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,3,1,3,3
13,I,habitat,0,1,0,0,0,0,0,0,0,60,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1
14,I,control,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0
15,I,habitat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,19,1,1,1
16,I,control,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,1,1,1
17,I,habitat,6,1,0,0,0,44,0,0,1,2,0,0,3,0,0,3,1,2,0,0,0,0,2,0,1,0,0,12,5,3,3
18,I,control,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,13,2,1,1
19,I,habitat,0,0,1,0,1,0,0,0,0,1,0,0,13,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,1,1,1
20,I,control,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0
