"","orchard","trantype","edgegen","edgespec","pair","new.names"
"M01","01","Margin","Habitat","Riparian","01","M01"
"M03","03","Margin","Habitat","Hedgerow","02","M03"
"M06","06","Margin","Clean","Clean","03","M06"
"M09","09","Margin","Habitat","Riparian","05","M09"
"M11","11","Margin","Habitat","Riparian & Hedgerow","06","M11"
"M12","12","Margin","Clean","Clean","06","M12"
"M13","13","Margin","Habitat","Riparian","07","M13"
"M14","14","Margin","Clean","Clean","07","M14"
"M15","15","Margin","Habitat","Riparian & Hedgerow","08","M15"
"M17","17","Margin","Habitat","Riparian","09","M17"
"M18","18","Margin","Clean","Clean","09","M18"
"M19","19","Margin","Habitat","Riparian & Hedgerow","10","M19"
"I01","01","Interior","Habitat","Riparian","01","I01"
"I03","03","Interior","Habitat","Riparian & Hedgerow","02","I03"
"I04","04","Interior","Clean","Clean","02","I04"
"I07","07","Interior","Habitat","Hedgerow","04","I07"
"I08","08","Interior","Clean","Clean","04","I08"
"I09","09","Interior","Habitat","Riparian","05","I09"
"I10","10","Interior","Clean","Clean","05","I10"
"I11","11","Interior","Habitat","Riparian & Hedgerow","06","I11"
"I12","12","Interior","Clean","Clean","06","I12"
"I13","13","Interior","Habitat","Riparian","07","I13"
"I15","15","Interior","Habitat","Riparian & Hedgerow","08","I15"
"I16","16","Interior","Clean","Clean","08","I16"
"I17","17","Interior","Habitat","Riparian","09","I17"
"I18","18","Interior","Clean","Clean","09","I18"
"I19","19","Interior","Habitat","Riparian & Hedgerow","10","I19"
