"orch","mplength","mpwdth","m_ht","mnvl","adj2","adjorch","margvegPC1"
1,1000,24.8,14.8,5.2,"ALMOND",1,0.675376592116985
2,0,0,0,0,"PREPSOIL",0,-0.772639708150225
3,300,28.8,8.4,3.6,"ALMOND",1,0.103969168818114
4,0,0,0,0,"PREPSOIL",0,-0.772639708150225
5,300,4,3.4,1,"WALNUT",1,-0.443259872168283
6,400,1,0.04,2,"FALLOW",0,-0.41898064987039
7,780,7.6,4.7,1.8,"PREPSOIL",0,-0.126384576584769
8,450,2,0.02,1,"PREPSOIL",0,-0.49266561972195
9,1000,18,14.8,4.2,"ALFPAST",0,0.53499111596828
10,0,0,0,0,"PREPSOIL",0,-0.772639708150225
11,1000,31.2,9.8,4.2,"PREPSOIL",0,0.479082798713036
12,0,0,0,0,"WALNUT",1,-0.772639708150225
13,1000,112.2,19,4.8,"WALNUT",1,1.29534096419677
14,0,0,0,0,"WALNUT",1,-0.772639708150225
15,1000,74.2,15.4,5.2,"WALNUT",1,0.99902563335684
16,1200,2.4,0.04,1,"TOM/CORN",0,-0.208167569193428
17,1000,27.8,16.8,5.2,"FALLOW",0,0.74921221537561
18,1000,10,0.35,2,"WALNUT",1,-0.129310951369445
19,1000,47.4,16.6,5.6,"WALNUT",1,0.90478164198811
20,1000,3,0.89,3,"PREPSOIL",0,-0.05981235087435
